"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","13175000","24771000","56526000","55335000","56371000","149552000","158236000","119084000","113838000","91677000","100320000","160591000","120058000","141100000","191776000","116312000","12615000","-39857000","-88747000","-112549000","-170703000","-297890000","-217894000","-129902000","-243176000","-259304000","-207521000","-152797000","-133853000","-132258000","-103664000","-59538000","-103813000","-44754000","-10396000","-6458000","-16933000","10283000","13256000","88138000","378175000","297531000","567999000","348993000","788732000","791106000","348180000","218913000","-15097000","516091000","","","",
"Afghanistan","AFG","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","32291000","66755000","94202000","37093000","51907000","70411000","73960000","113375000","177424000","155335000","188190000","151563000","352842000","395207000","443993000","279191000","539774000","586713000","48196000","328854000","262826000","6338000","-104449000","-267409000","-427372000","-522760000","-513204000","-418855000","-449623000","-465486000","-372520000","-322545000","-301302000","-275627000","-294973000","-266137000","-265958000","-385976000","-588157000","-177081000","-95495000","-42764000","-12431000","13473000","17553000","23916000","27205000","597229000","133817000","543577000","","","",
"Angola","AGO","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450000000","0","14640000","31744000","612571000","118503000","787455000","",
"Albania","ALB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5427000","11736000","6874000","3107000","27640000","7760000","4826000","232490000","21426000","34240000","262687000","81535000","90180000","52387000","115172000","",
"Andorra","AND","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","27096000","37342000","37455000","46030000","65252000","1301000","1269000","361000","8877000","15251000","36691000","73689000","26275000","29799000","19432000","75097000","273259000","661684000","298902000","95645000","171676000","109131000","-211373000","1172817000","122676000","682402000","794775000","497832000","1678358000","1127878000","480708000","653301000","-928290000","-1005171000","-61027000","-566378000","-674600000","-531603000","-604636000","235604000","46158000","210658000","67999000","490702000","-93524000","-142008000","198157000","238743000","556697000","249406000","593717000","796270000","",
